"ind","X","A","Z","Y"
"1",0,0,0,0
"2",0,0,0,0
"3",0,0,0,0
"4",0,0,0,0
"5",0,0,0,0
"6",0,0,0,0
"7",0,0,0,0
"8",0,0,0,0
"9",0,0,0,0
"10",0,0,0,0
"11",0,0,0,0
"12",0,0,0,0
"13",0,0,0,0
"14",0,0,0,0
"15",0,0,0,0
"21",0,0,0,1
"22",0,0,0,1
"23",0,0,0,1
"31",0,0,1,0
"32",0,0,1,0
"33",0,0,1,0
"41",0,0,1,1
"42",0,0,1,1
"43",0,0,1,1
"44",0,0,1,1
"45",0,0,1,1
"46",0,0,1,1
"47",0,0,1,1
"48",0,0,1,1
"49",0,0,1,1
"410",0,0,1,1
"411",0,0,1,1
"51",0,1,0,0
"52",0,1,0,0
"53",0,1,0,0
"54",0,1,0,0
"55",0,1,0,0
"56",0,1,0,0
"57",0,1,0,0
"58",0,1,0,0
"59",0,1,0,0
"510",0,1,0,0
"511",0,1,0,0
"512",0,1,0,0
"513",0,1,0,0
"514",0,1,0,0
"515",0,1,0,0
"516",0,1,0,0
"517",0,1,0,0
"518",0,1,0,0
"519",0,1,0,0
"520",0,1,0,0
"521",0,1,0,0
"522",0,1,0,0
"523",0,1,0,0
"524",0,1,0,0
"525",0,1,0,0
"526",0,1,0,0
"527",0,1,0,0
"528",0,1,0,0
"529",0,1,0,0
"530",0,1,0,0
"531",0,1,0,0
"532",0,1,0,0
"533",0,1,0,0
"534",0,1,0,0
"535",0,1,0,0
"536",0,1,0,0
"61",0,1,0,1
"62",0,1,0,1
"63",0,1,0,1
"64",0,1,0,1
"71",0,1,1,0
"72",0,1,1,0
"73",0,1,1,0
"74",0,1,1,0
"81",0,1,1,1
"82",0,1,1,1
"83",0,1,1,1
"84",0,1,1,1
"85",0,1,1,1
"86",0,1,1,1
"87",0,1,1,1
"88",0,1,1,1
"89",0,1,1,1
"91",1,0,0,0
"92",1,0,0,0
"93",1,0,0,0
"94",1,0,0,0
"95",1,0,0,0
"96",1,0,0,0
"97",1,0,0,0
"98",1,0,0,0
"99",1,0,0,0
"910",1,0,0,0
"911",1,0,0,0
"912",1,0,0,0
"913",1,0,0,0
"914",1,0,0,0
"915",1,0,0,0
"101",1,0,0,1
"102",1,0,0,1
"103",1,0,0,1
"111",1,0,1,0
"112",1,0,1,0
"113",1,0,1,0
"121",1,0,1,1
"122",1,0,1,1
"123",1,0,1,1
"124",1,0,1,1
"125",1,0,1,1
"126",1,0,1,1
"127",1,0,1,1
"131",1,1,0,0
"132",1,1,0,0
"133",1,1,0,0
"134",1,1,0,0
"135",1,1,0,0
"136",1,1,0,0
"137",1,1,0,0
"138",1,1,0,0
"139",1,1,0,0
"1310",1,1,0,0
"1311",1,1,0,0
"1312",1,1,0,0
"1313",1,1,0,0
"1314",1,1,0,0
"1315",1,1,0,0
"1316",1,1,0,0
"1317",1,1,0,0
"1318",1,1,0,0
"1319",1,1,0,0
"1320",1,1,0,0
"1321",1,1,0,0
"1322",1,1,0,0
"1323",1,1,0,0
"1324",1,1,0,0
"1325",1,1,0,0
"1326",1,1,0,0
"1327",1,1,0,0
"141",1,1,0,1
"142",1,1,0,1
"143",1,1,0,1
"151",1,1,1,0
"152",1,1,1,0
"153",1,1,1,0
"154",1,1,1,0
"155",1,1,1,0
"156",1,1,1,0
"157",1,1,1,0
"158",1,1,1,0
"159",1,1,1,0
"16",1,1,1,1
"161",1,1,1,1
"162",1,1,1,1
"163",1,1,1,1
"164",1,1,1,1
"165",1,1,1,1
"166",1,1,1,1
"167",1,1,1,1
"168",1,1,1,1
"169",1,1,1,1
"1610",1,1,1,1
"1611",1,1,1,1
"1612",1,1,1,1
